county,population,median_income,poverty_rate,bachelors_or_higher_pct,private_school_count,private_enrollment,private_teachers_fte,avg_student_teacher_ratio,private_student_teacher_ratio,private_schools_per_100k,private_enrollment_per_100k
anderson,58077,57445,15.633511993673665,13.111509096050522,1.0,81.0,11.6,6.9827586207,6.982758620689656,1.721852024037054,139.47001394700138
andrews,18362,86458,11.941854086670324,19.69573485465906,0.0,0.0,0.0,0.0,0.0,0.0,0.0
angelina,86608,57055,16.09991079393399,18.649716119476672,3.0,186.0,35.0,5.006072024833333,5.314285714285714,3.4638832440421212,214.76076113061148
aransas,24048,58168,17.871139016476338,24.16692946494271,2.0,119.0,13.6,8.65584415575,8.75,8.316699933466401,494.8436460412508
archer,8649,69954,12.285814197458912,25.17401392111369,0.0,0.0,0.0,0.0,0.0,0.0,0.0
armstrong,1912,70417,5.895078420767982,25.920360631104433,0.0,0.0,0.0,0.0,0.0,0.0,0.0
atascosa,49403,67442,14.062982084456054,14.525334517090494,1.0,53.0,9.0,5.8888888889,5.888888888888889,2.024168572758739,107.2809343562132
austin,30406,73556,11.939653740072442,24.129210802557495,1.0,12.0,1.1,10.909090909,10.909090909090908,3.2888245740972177,39.46589488916661
bailey,6902,69830,12.739520958083833,15.338553661906957,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bandera,21182,70965,14.267858859725028,27.335831439277598,1.0,36.0,8.9,4.0449438202,4.044943820224719,4.7209895194032665,169.95562269851763
bastrop,98435,80151,11.940703056586464,23.04881636191921,3.0,127.0,24.1,5.931064572433333,5.269709543568465,3.0476964494336363,129.0191496926906
baylor,3475,52716,11.63133097762073,23.25769854132901,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bee,30977,50283,19.961799660441425,11.49537037037037,2.0,95.0,21.5,4.479222400599999,4.4186046511627906,6.456403137811924,306.6791490460664
bell,372821,62858,14.68678195167786,26.772697732422323,15.0,1863.0,227.0,8.023427141106668,8.20704845814978,4.023378511403596,499.7036111163266
bexar,2014059,67275,15.172077534529812,30.431741086321253,82.0,15682.0,1493.9,9.185705158385366,10.497355914050472,4.071380232654555,778.6266440059601
blanco,11608,79717,9.771816756662602,30.624929370550348,1.0,7.0,2.0,3.5,3.5,8.61474844934528,60.30323914541695
borden,686,80625,1.6034985422740524,39.40774487471526,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bosque,18404,63868,11.544427210281409,18.966945260146073,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bowie,92747,56628,17.37765975790599,22.250753600535894,3.0,135.0,16.6,8.977011494266668,8.132530120481928,3.234605971082623,145.55726869871802
brazoria,374600,91972,7.532447444668786,31.40897562407744,16.0,1563.0,181.4,8.54002141476875,8.616317530319735,4.271222637479979,417.2450613988254
