county,population,median_income,poverty_rate,bachelors_or_higher_pct
anderson,58077,57445,15.633511993673665,13.111509096050522
andrews,18362,86458,11.941854086670324,19.69573485465906
angelina,86608,57055,16.09991079393399,18.649716119476672
aransas,24048,58168,17.871139016476338,24.16692946494271
archer,8649,69954,12.285814197458912,25.17401392111369
armstrong,1912,70417,5.895078420767982,25.920360631104433
atascosa,49403,67442,14.062982084456054,14.525334517090494
austin,30406,73556,11.939653740072442,24.129210802557495
bailey,6902,69830,12.739520958083833,15.338553661906957
bandera,21182,70965,14.267858859725028,27.335831439277598
bastrop,98435,80151,11.940703056586464,23.04881636191921
baylor,3475,52716,11.63133097762073,23.25769854132901
bee,30977,50283,19.961799660441425,11.49537037037037
bell,372821,62858,14.68678195167786,26.772697732422323
bexar,2014059,67275,15.172077534529812,30.431741086321253
blanco,11608,79717,9.771816756662602,30.624929370550348
borden,686,80625,1.6034985422740524,39.40774487471526
bosque,18404,63868,11.544427210281409,18.966945260146073
bowie,92747,56628,17.37765975790599,22.250753600535894
brazoria,374600,91972,7.532447444668786,31.40897562407744
brazos,234548,57562,24.307028382789593,43.202215706500105
brewster,9454,47747,15.650384490414817,47.69897887816478
briscoe,1290,35446,24.353954581049333,15.746421267893659
brooks,7059,30566,33.21630285452603,19.10866910866911
brown,38159,53792,13.284478483663012,19.886192342478143
burleson,17958,71745,12.45903491919991,22.464668426774345
burnet,49684,71482,7.834661067539472,28.117435117941792
caldwell,46141,66779,14.013319952559073,16.690661605915842
calhoun,20127,62267,9.205020920502092,16.20530141713782
callahan,13869,63906,8.790646693459992,22.87359868353389
cameron,421854,47435,25.34448807151126,19.47475102846931
camp,12543,53968,21.534395771602465,20.7275390625
carson,5801,83199,7.50260507120528,25.224071702944943
cass,28637,54303,18.498174988482937,17.223137196187054
castro,7381,59886,12.440060282230442,19.493220715714603
chambers,47037,106103,13.702380697739086,22.789081554241424
cherokee,50824,56971,16.576884889198723,16.17325710180501
childress,6781,56063,15.083693812300169,14.640496695373523
clay,10290,75227,9.092696353091517,23.241306079108043
cochran,2529,41597,25.848142164781905,8.52575488454707
coke,3305,40230,16.509136735979837,19.49685534591195
coleman,7808,51034,17.113615753335925,20.651395848246242
collin,1079153,113255,6.322078916289731,54.289836202035765
collingsworth,2865,52045,22.34576757532281,25.195968645016798
colorado,20582,63352,7.451862965741435,22.172268607721403
comal,165201,93744,6.100544887635993,40.53736196265966
comanche,13651,57383,13.528009535160907,18.876755070202808
concho,3235,55750,15.928837401737692,11.560226354082458
cooke,41860,66374,13.32863016031333,23.270065835551197
