county,population,median_income,poverty_rate,bachelors_or_higher_pct,private_school_count,private_enrollment,private_teachers_fte,avg_student_teacher_ratio,private_student_teacher_ratio,private_schools_per_100k,private_enrollment_per_100k,public_student_count,district_count,avg_econ_disadv_pct,avg_attendance_rate,avg_chronic_absenteeism_rate,avg_ccmr_rate,avg_graduation_rate
anderson,58077,57445,15.633511993673665,13.111509096050522,1.0,81.0,11.6,6.9827586207,6.982758620689656,1.721852024037054,139.47001394700138,7802.0,7.0,67.70785695975391,95.23954114329659,11.411561138169699,42.916367598051785,98.08423481158677
andrews,18362,86458,11.941854086670324,19.69573485465906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4201.0,1.0,52.3,93.4,20.2,27.0,94.1
angelina,86608,57055,16.09991079393399,18.649716119476672,3.0,186.0,35.0,5.006072024833333,5.314285714285714,3.463883244042121,214.76076113061148,15616.0,7.0,69.82373847336065,93.66758452868852,18.844006147540984,32.00170978483607,94.98034707991802
aransas,24048,58168,17.871139016476338,24.16692946494271,2.0,119.0,13.6,8.65584415575,8.75,8.316699933466401,494.8436460412508,2913.0,1.0,63.2,93.1,23.199999999999996,28.300000000000004,91.6
archer,8649,69954,12.285814197458912,25.17401392111369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2104.0,3.0,31.596768060836503,96.08279467680609,6.798051330798479,34.39805133079848,100.0
armstrong,1912,70417,5.895078420767982,25.920360631104437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,297.0,1.0,27.3,95.3,9.4,55.0,95.0
atascosa,49403,67442,14.062982084456054,14.525334517090494,1.0,53.0,9.0,5.8888888889,5.888888888888889,2.024168572758739,107.2809343562132,9018.0,5.0,65.92317587048126,92.65460190729652,24.778931026835217,21.956176535817253,94.24198270126415
austin,30406,73556,11.939653740072442,24.12921080255749,1.0,12.0,1.1,10.909090909,10.909090909090908,3.2888245740972177,39.46589488916661,6263.0,3.0,56.50760019160146,94.83282771834584,13.260146894459522,17.29725371227846,96.46128053648413
bailey,6902,69830,12.739520958083832,15.338553661906955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1328.0,1.0,86.4,94.8,13.3,25.3,97.6
bandera,21182,70965,14.267858859725028,27.3358314392776,1.0,36.0,8.9,4.0449438202,4.044943820224719,4.7209895194032665,169.95562269851763,2453.0,2.0,51.60334284549531,94.34953118630249,15.992906644924581,8.5958418263351,93.64243783122707
bastrop,98435,80151,11.940703056586464,23.04881636191921,3.0,127.0,24.1,5.931064572433333,5.269709543568465,3.0476964494336363,129.0191496926906,21439.0,4.0,68.6828396846868,91.6128504127991,28.53752040673539,15.03658286300667,95.75295955968096
baylor,3475,52716,11.63133097762073,23.25769854132901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,593.0,1.0,59.4,95.1,13.0,26.1,95.7
bee,30977,50283,19.961799660441425,11.49537037037037,2.0,95.0,21.5,4.479222400599999,4.418604651162791,6.456403137811924,306.6791490460664,5075.0,5.0,80.1696157635468,92.1351330049261,25.76599014778325,24.11138601969733,95.88892625510448
bell,372821,62858,14.68678195167786,26.772697732422323,15.0,1863.0,227.0,8.023427141106668,8.20704845814978,4.023378511403596,499.7036111163266,77207.0,12.0,55.91331744530936,93.1806416516637,21.304008703874004,23.872268058595726,91.62322069242427
bexar,2014059,67275,15.172077534529812,30.431741086321253,82.0,15682.0,1493.9,9.185705158385366,10.497355914050472,4.071380232654555,778.6266440059601,352880.0,42.0,61.71844196327363,92.3420762487281,24.81445783815498,17.88313366178712,88.10211766747156
blanco,11608,79717,9.771816756662602,30.624929370550348,1.0,7.0,2.0,3.5,3.5,8.61474844934528,60.30323914541695,1802.0,2.0,38.803995560488346,94.56093229744728,14.678135405105438,25.182463928967817,99.26881243063262
borden,686,80625,1.6034985422740524,39.40774487471526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249.0,1.0,29.3,95.5,6.3,0.0,100.0
bosque,18404,63868,11.544427210281407,18.966945260146076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2801.0,8.0,62.86394144948233,95.17254551945733,12.040199928596929,13.97379507318815,97.56408425562299
bowie,92747,56628,17.37765975790599,22.25075360053589,3.0,135.0,16.6,8.977011494266668,8.132530120481928,3.234605971082623,145.55726869871802,17420.0,13.0,65.9255051664753,94.15135476463833,17.54625717566016,26.67259236826166,93.34353119321624
brazoria,374600,91972,7.532447444668786,31.40897562407744,16.0,1563.0,181.4,8.54002141476875,8.616317530319735,4.271222637479979,417.2450613988254,74478.0,8.0,50.65197239453261,94.61255538548296,14.04280190123258,25.64874215104944,97.64245626773157
brazos,234548,57562,24.307028382789596,43.202215706500105,12.0,1059.0,180.5,5.7888067960416665,5.867036011080333,5.116223544860754,451.5067278339615,31020.0,4.0,60.793675048355894,94.344609929078,15.444558349451967,18.3028877288046,94.68426617326372
brewster,9454,47747,15.650384490414815,47.69897887816478,3.0,134.0,19.8,6.755336617366667,6.767676767676767,31.732599957689867,1417.389464776814,1091.0,4.0,54.21585701191567,93.47855178735107,16.430797433547205,7.457486136783734,91.49805914972274
