county,private_school_count,private_enrollment,private_teachers_fte,avg_student_teacher_ratio,private_student_teacher_ratio,population,median_income,poverty_rate,bachelors_or_higher_pct,private_schools_per_100k,private_enrollment_per_100k
anderson,1,81,11.6,6.9827586207,6.982758620689656,58077.0,57445.0,15.633511993673665,13.111509096050522,1.721852024037054,139.47001394700138
angelina,3,186,35.0,5.006072024833333,5.314285714285714,86608.0,57055.0,16.09991079393399,18.649716119476672,3.4638832440421212,214.76076113061148
aransas,2,119,13.6,8.65584415575,8.75,24048.0,58168.0,17.871139016476338,24.16692946494271,8.316699933466401,494.8436460412508
atascosa,1,53,9.0,5.8888888889,5.888888888888889,49403.0,67442.0,14.062982084456054,14.525334517090494,2.024168572758739,107.2809343562132
austin,1,12,1.1,10.909090909,10.909090909090908,30406.0,73556.0,11.939653740072442,24.129210802557495,3.2888245740972177,39.46589488916661
bandera,1,36,8.9,4.0449438202,4.044943820224719,21182.0,70965.0,14.267858859725028,27.335831439277598,4.7209895194032665,169.95562269851763
bastrop,3,127,24.1,5.931064572433333,5.269709543568465,98435.0,80151.0,11.940703056586464,23.04881636191921,3.0476964494336363,129.0191496926906
bee,2,95,21.5,4.479222400599999,4.4186046511627906,30977.0,50283.0,19.961799660441425,11.49537037037037,6.456403137811924,306.6791490460664
bell,15,1863,227.0,8.023427141106668,8.20704845814978,372821.0,62858.0,14.68678195167786,26.772697732422323,4.023378511403596,499.7036111163266
bernalillo,1,98,4.4,22.272727273,22.27272727272727,,,,,,
bexar,82,15682,1493.9,9.185705158385366,10.497355914050472,2014059.0,67275.0,15.172077534529812,30.431741086321253,4.071380232654555,778.6266440059601
blanco,1,7,2.0,3.5,3.5,11608.0,79717.0,9.771816756662602,30.624929370550348,8.61474844934528,60.30323914541695
bowie,3,135,16.6,8.977011494266668,8.132530120481928,92747.0,56628.0,17.37765975790599,22.250753600535894,3.234605971082623,145.55726869871802
brazoria,16,1563,181.4,8.54002141476875,8.616317530319735,374600.0,91972.0,7.532447444668786,31.40897562407744,4.271222637479979,417.2450613988254
brazos,12,1059,180.5,5.7888067960416665,5.867036011080333,234548.0,57562.0,24.307028382789593,43.202215706500105,5.116223544860754,451.50672783396146
brewster,3,134,19.8,6.755336617366667,6.767676767676767,9454.0,47747.0,15.650384490414817,47.69897887816478,31.732599957689867,1417.389464776814
brown,2,60,22.9,4.47972972975,2.620087336244542,38159.0,53792.0,13.284478483663012,19.886192342478143,5.241227495479441,157.23682486438324
burleson,1,84,8.6,9.7674418605,9.767441860465116,17958.0,71745.0,12.45903491919991,22.464668426774345,5.568548836173293,467.75810223855666
burnet,3,376,44.1,6.420708955233334,8.526077097505668,49684.0,71482.0,7.834661067539472,28.117435117941792,6.038161178649061,756.7828677240158
caldwell,3,152,28.0,9.513888888766667,5.428571428571429,46141.0,66779.0,14.013319952559073,16.690661605915842,6.5018096703582495,329.4250232981513
calhoun,1,109,13.1,8.320610687,8.320610687022901,20127.0,62267.0,9.205020920502092,16.20530141713782,4.9684503403388485,541.5610870969344
cameron,14,2072,232.3,8.19347287605,8.919500645716745,421854.0,47435.0,25.34448807151126,19.47475102846931,3.3186837152190094,491.1651898524134
cherokee,1,5,1.0,5.0,5.0,50824.0,56971.0,16.576884889198723,16.17325710180501,1.967574374311349,9.837871871556745
collin,68,12861,1082.7,11.905969568410294,11.878636741479633,1079153.0,113255.0,6.322078916289731,54.289836202035765,6.301238100621506,1191.7679884131353
colorado,2,231,26.0,8.6831753977,8.884615384615385,20582.0,63352.0,7.451862965741435,22.172268607721403,9.71722864639005,1122.3399086580507
comal,11,2130,229.8,10.086551760618182,9.268929503916448,165201.0,93744.0,6.100544887635993,40.53736196265966,6.658555335621456,1289.3384422612455
cooke,2,281,31.6,8.7908748502,8.89240506329114,41860.0,66374.0,13.32863016031333,23.270065835551197,4.777830864787386,671.2852365026279
coryell,1,7,1.1,6.3636363636,6.363636363636363,82927.0,63281.0,10.612318189980249,17.30317778413971,1.205879870247326,8.441159091731281
dallas,149,28733,3606.4,8.664596478733555,7.967224933451641,2604053.0,70732.0,13.982521556656133,33.883096896348306,5.72184974729777,1103.395361000717
deaf smith,1,59,13.1,4.5038167939,4.5038167938931295,18585.0,51942.0,15.84239575933111,11.831532280410086,5.380683346785042,317.46031746031747
denton,34,5963,634.6,8.453368824211765,9.396470217459816,914870.0,104180.0,7.416557225653711,47.86627476908373,3.716375004098943,651.786592630647
dewitt,1,69,8.6,8.023255814,8.023255813953488,19826.0,61100.0,16.53442109968708,14.063396442914517,5.043881771411278,348.0278422273782
eastland,1,9,3.1,2.9032258065,2.903225806451613,17812.0,52902.0,16.191602602010644,22.857377858200362,5.6141926790927466,50.52773411183472
ector,5,433,36.1,10.4319444446,11.994459833795013,162300.0,70566.0,15.783595592547762,16.602714857449357,3.080714725816389,266.7898952556993
el paso,32,3994,428.4,9.50415933838125,9.323062558356677,863832.0,55417.0,19.50623152662989,25.01265945778281,3.704424008371998,462.35842154492997
ellis,5,514,59.8,7.847683890420001,8.595317725752508,195509.0,93248.0,8.195068481818323,27.869294951692165,2.5574270238198755,262.90349804868316
erath,2,43,10.9,3.4568965517,3.944954128440367,42788.0,59654.0,16.54137203820866,32.36157385372045,4.674207721791157,100.49546601850986
fannin,1,11,2.0,5.5,5.5,36052.0,65835.0,12.831617201695941,20.57183533040693,2.773771219349828,30.511483412848108
fayette,3,236,27.200000000000003,7.6101035369,8.676470588235293,24564.0,72881.0,10.16042780748663,24.059983337961675,12.212994626282365,960.7555772675461
fort bend,54,3637,445.1,7.608449926331481,8.171197483711525,832607.0,109987.0,6.925968627982909,48.62033262753365,6.485652895063336,436.82073295083995
gaines,3,717,58.0,13.086538461666668,12.362068965517242,21523.0,73299.0,12.660713450839218,10.398628375482213,13.938577335873253,3331.3199832737077
galveston,16,1688,186.5,7.53151641354375,9.05093833780161,350801.0,83913.0,11.018453523921128,33.805945879739326,4.560990419069501,481.1844892118324
gillespie,2,437,43.1,9.9654761905,10.139211136890951,26953.0,70162.0,9.070405593354133,35.233265720081135,7.4203242681705195,1621.3408525952586
