school_name,state,county,city,zip_code,students,teachers_fte,student_teacher_ratio,religion_code,school_level_code
ST PHILIP THE APOSTLE CATHOLIC SCHOOL,TX,wharton,El Campo,77437,212,22.1,9.592760181,1,1
SACRED HEART SCHOOL,TX,wilson,Floresville,78114,49,4.0,12.25,1,1
ST MARY'S ELEMENTARY SCHOOL,TX,gillespie,Fredericksburg,78624,286,23.1,12.380952381,1,1
NOTRE DAME CATHOLIC SCHOOL,TX,kerr,Kerrville,78028,115,14.0,8.2142857143,1,1
SS PETER & PAUL CATHOLIC SCHOOL,TX,comal,New Braunfels,78130,288,27.0,10.666666667,1,1
BLESSED SACRAMENT CATHOLIC SCHOOL,TX,bexar,San Antonio,78216,153,19.0,8.0526315789,1,1
HOLY NAME CATHOLIC SCHOOL,TX,bexar,San Antonio,78223,121,12.3,9.837398374,1,1
HOLY SPIRIT CATHOLIC SCHOOL,TX,bexar,San Antonio,78216,348,28.0,12.428571429,1,1
INCARNATE WORD HIGH SCHOOL,TX,bexar,San Antonio,78212,370,29.9,12.37458194,1,2
MOUNT SACRED HEART SCHOOL,TX,bexar,San Antonio,78216,151,15.3,9.8692810458,1,1
OUR LADY OF PERPETUAL HELP SCHOOL,TX,bexar,Selma,78154,248,21.0,11.80952381,1,1
PROVIDENCE CATHOLIC SCHOOL,TX,bexar,San Antonio,78215,236,23.5,10.042553191,1,2
ST GREGORY THE GREAT CATHOLIC SCHOOL,TX,bexar,San Antonio,78213,173,20.9,8.2775119617,1,1
ST JAMES THE APOSTLE SCHOOL,TX,bexar,San Antonio,78225,209,13.0,16.076923077,1,1
OUR LADY OF REFUGE CATHOLIC SCHOOL,TX,maverick,Eagle Pass,78852,213,13.0,16.384615385,1,1
SACRED HEART CATHOLIC SCHOOL,TX,val verde,Del Rio,78840,128,10.3,12.427184466,1,1
ST MICHAEL CATHOLIC SCHOOL,TX,colorado,Weimar,78962,75,11.9,6.3025210084,1,1
ST JOSEPH HIGH SCHOOL,TX,victoria,Victoria,77901,292,22.0,13.272727273,1,2
ST JOSEPH ELEMENTARY SCHOOL,TX,lavaca,Yoakum,77995,79,13.3,5.9398496241,1,1
OUR LADY OF VICTORY SCHOOL,TX,victoria,Victoria,77901,401,21.5,18.651162791,1,1
ST MICHAELS CATHOLIC SCHOOL,TX,dewitt,Cuero,77954,69,8.6,8.023255814,1,1
ST MONICA CATHOLIC SCHOOL,TX,bexar,Converse,78109,129,16.8,7.6785714286,1,1
ST ANTHONY SCHOOL,TX,colorado,Columbus,78934,156,14.1,11.063829787,1,1
SACRED HEART PARISH SCHOOL,TX,uvalde,Uvalde,78801,43,9.0,4.7777777778,1,1
SHINER CATHOLIC SCHOOL,TX,lavaca,Shiner,77984,246,19.1,12.879581152,1,3
ST JAMES CATHOLIC SCHOOL,TX,guadalupe,Seguin,78155,111,14.0,7.9285714286,1,1
ST ROSE OF LIMA CATHOLIC SCHOOL,TX,fayette,Schulenburg,78956,135,12.3,10.975609756,1,1
ST PIUS X CATHOLIC SCHOOL,TX,bexar,San Antonio,78209,177,13.8,12.826086957,1,1
ST PETER PRINCE OF THE APOSTLES SCHOOL,TX,bexar,San Antonio,78209,120,14.5,8.275862069,1,1
ST LUKE CATHOLIC SCHOOL,TX,bexar,San Antonio,78228,389,31.8,12.232704403,1,1
ST MARYS CATHEDRAL SCHOOL,TX,potter,Amarillo,79102,88,8.3,10.602409639,1,1
ST ANTHONY CATHOLIC SCHOOL,TX,deaf smith,Hereford,79045,59,13.1,4.5038167939,1,1
ST ANTHONY OF PADUA CATHOLIC SCHOOL,TX,hartley,Dalhart,79022,55,7.6,7.2368421053,1,1
ST JOSEPH CATHOLIC ELEMENTARY & MONTESSOTIR SCHOOL,TX,randall,Amarillo,79110,104,12.9,8.0620155039,1,1
ST MARYS SCHOOL,TX,mclennan,West,76691,117,15.0,7.8,1,1
ST LOUIS CATHOLIC SCHOOL,TX,mclennan,Waco,76708,315,29.0,10.862068966,1,3
REICHER CATHOLIC HIGH SCHOOL,TX,mclennan,Waco,76708,316,34.3,9.2128279883,1,3
ST MARYS CATHOLIC SCHOOL,TX,bell,Temple,76504,145,25.6,5.6640625,1,1
ST MARY'S CATHOLIC SCHOOL,TX,williamson,Taylor,76574,219,40.0,5.475,1,3
SACRED HEART SCHOOL,TX,fayette,La Grange,78945,84,10.4,8.0769230769,1,1
ST JOSEPH CATHOLIC SCHOOL,TX,brazos,Bryan,77803,299,33.5,8.9253731343,1,3
CATHEDRAL SCHOOL OF ST MARY,TX,travis,Austin,78701,154,15.6,9.8717948718,1,1
ST IGNATIUS MARTYR  CATHOLIC SCHOOL,TX,travis,Austin,78704,162,12.3,13.170731707,1,1
ST AUSTIN CATHOLIC SCHOOL,TX,travis,Austin,78704,178,17.9,9.9441340782,1,1
ST JOSEPH CATHOLIC ACADEMY,TX,bell,Killeen,76543,198,14.0,14.142857143,1,3
ST LOUIS CATHOLIC SCHOOL,TX,travis,Austin,78757,249,20.9,11.913875598,1,1
ST MARY CATHOLIC SCHOOL,TX,orange,Orange,77630,65,12.3,5.2845528455,1,1
ST PATRICK CATHOLIC SCHOOL,TX,angelina,Lufkin,75901,53,10.9,4.8623853211,1,1
ST ANTHONY CATHEDRAL BASILICA SCHOOL,TX,jefferson,Beaumont,77701,167,16.8,9.9404761905,1,1
ST ANNE CATHOLIC SCHOOL,TX,jefferson,Beaumont,77702,511,66.3,7.7073906486,1,1
MONSIGNOR KELLY CATHOLIC SCHOOL,TX,jefferson,Beaumont,77707,341,34.3,9.9416909621,1,2
ST JOSEPH CATHOLIC SCHOOL,TX,hidalgo,Edinburg,78539,86,11.3,7.610619469,1,1
ST MARY'S CATHOLIC SCHOOL,TX,cameron,Brownsville,78520,312,22.0,14.181818182,1,1
ST JOSEPH ACADEMY,TX,cameron,Brownsville,78520,401,38.0,10.552631579,1,2
ST ANTHONY CATHOLIC SCHOOL,TX,cameron,Harlingen,78550,72,9.0,8.0,1,1
BLESSED SACRAMENT SCHOOL,TX,webb,Laredo,78043,269,15.0,17.933333333,1,1
ST ANTHONY SCHOOL,TX,nueces,Robstown,78380,107,10.0,10.7,1,1
ST PATRICK SCHOOL,TX,nueces,Corpus Christi,78411,200,25.0,8.0,1,1
OUR LADY OF PERPETUAL HELP ACADEMY,TX,nueces,Corpus Christi,78412,120,11.0,10.909090909,1,1
MARY HELP OF CHRISTIANS SCHOOL,TX,webb,Laredo,78041,344,35.0,9.8285714286,1,1
ST PIUS X CATHOLIC SCHOOL,TX,nueces,Corpus Christi,78412,109,7.6,14.342105263,1,1
SS. CYRIL & METHODIUS CATHOLIC SCHOOL,TX,nueces,Corpus Christi,78415,100,6.0,16.666666667,1,1
ST ELIZABETH CATHOLIC SCHOOL,TX,jim wells,Alice,78332,118,9.0,13.111111111,1,1
MOST PRECIOUS BLOOD CATHOLIC SCHOOL,TX,nueces,Corpus Christi,78415,115,12.3,9.3495934959,1,1
ST MARY S CATHOLIC SCHOOL,TX,gregg,Longview,75605,157,24.0,6.5416666667,1,3
ST PAUL CATHOLIC CLASSICAL SCHOOL,TX,dallas,Richardson,75080,102,14.6,6.9863013699,1,1
ST MARYS CATHOLIC SCHOOL,TX,grayson,Sherman,75090,140,12.5,11.2,1,1
HOLY FAMILY CATHOLIC ACADEMY,TX,dallas,Irving,75062,114,13.3,8.5714285714,1,1
IMMACULATE CONCEPTION SCHOOL,TX,dallas,Grand Prairie,75050,116,11.6,10.0,1,1
ST THOMAS AQUINAS CATHOLIC SCHOOL,TX,dallas,Dallas,75214,803,80.9,9.9258343634,1,1
ST RITA CATHOLIC SCHOOL,TX,dallas,Dallas,75244,701,55.0,12.745454545,1,1
ST PIUS X CATHOLIC SCHOOL,TX,dallas,Dallas,75228,157,20.0,7.85,1,1
ST PATRICK CATHOLIC SCHOOL,TX,dallas,Dallas,75238,360,28.9,12.456747405,1,1
ST MONICA CATHOLIC SCHOOL,TX,dallas,Dallas,75229,688,58.8,11.700680272,1,1
ST MARY OF CARMEL SCHOOL,TX,dallas,Dallas,75212,134,11.8,11.355932203,1,1
ST ELIZABETH OF HUNGARY CATHOLIC SCHOOL,TX,dallas,Dallas,75224,177,20.6,8.5922330097,1,1
ST BERNARD OF CLAIRVAUX SCHOOL,TX,dallas,Dallas,75218,128,14.3,8.951048951,1,1
ST PHILIP & ST. AUGUSTINE CATHOLIC ACADEMY,TX,dallas,Dallas,75227,276,27.0,10.222222222,1,1
OUR LADY OF PERPETUAL HELP SCHOOL,TX,dallas,Dallas,75235,147,12.8,11.484375,1,1
MARY IMMACULATE CATHOLIC SCHOOL,TX,dallas,Farmers Branch,75234,384,29.6,12.972972973,1,1
JESUIT COLLEGE PREP SCHOOL,TX,dallas,Dallas,75244,1143,120.0,9.525,1,2
HOLY TRINITY CATHOLIC SCHOOL,TX,dallas,Dallas,75219,109,12.6,8.6507936508,1,1
BISHOP DUNNE CATHOLIC SCHOOL,TX,dallas,Dallas,75224,377,42.6,8.8497652582,1,2
ST PATRICK CATHEDRAL SCHOOL,TX,el paso,El Paso,79902,133,13.0,10.230769231,1,1
MOST HOLY TRINITY SCHOOL,TX,el paso,El Paso,79924,127,11.0,11.545454545,1,1
FATHER YERMO  SCHOOLS,TX,el paso,El Paso,79905,121,10.6,11.41509434,1,3
CATHEDRAL HIGH SCHOOL,TX,el paso,El Paso,79902,383,29.4,13.027210884,1,2
ALL SAINTS CATHOLIC SCHOOL,TX,tarrant,Fort Worth,76164,113,11.0,10.272727273,1,1
CASSATA HIGH SCHOOL,TX,tarrant,Fort Worth,76104,113,7.0,16.142857143,1,2
HOLY FAMILY CATHOLIC SCHOOL,TX,tarrant,Fort Worth,76107,93,12.1,7.6859504132,1,1
NOLAN CATHOLIC HIGH SCHOOL,TX,tarrant,Fort Worth,76103,760,74.0,10.27027027,1,2
ST ANDREW CATHOLIC,TX,tarrant,Fort Worth,76109,516,38.0,13.578947368,1,1
