county,public_student_count,district_count,avg_econ_disadv_pct,avg_attendance_rate,avg_chronic_absenteeism_rate,avg_ccmr_rate,avg_graduation_rate
anderson,7802.0,7.0,67.70785695975391,95.23954114329659,11.411561138169699,42.916367598051785,98.08423481158677
andrews,4201.0,1.0,52.3,93.4,20.2,27.0,94.1
angelina,15616.0,7.0,69.82373847336065,93.66758452868852,18.844006147540984,32.00170978483607,94.98034707991802
aransas,2913.0,1.0,63.2,93.1,23.199999999999996,28.300000000000004,91.6
archer,2104.0,3.0,31.596768060836503,96.08279467680609,6.798051330798479,34.39805133079848,100.0
armstrong,297.0,1.0,27.3,95.3,9.4,55.0,95.0
atascosa,9018.0,5.0,65.92317587048126,92.65460190729652,24.778931026835217,21.956176535817253,94.24198270126415
austin,6263.0,3.0,56.50760019160146,94.83282771834584,13.260146894459522,17.29725371227846,96.46128053648413
bailey,1328.0,1.0,86.4,94.8,13.3,25.3,97.6
bandera,2453.0,2.0,51.60334284549531,94.34953118630249,15.992906644924581,8.5958418263351,93.64243783122707
bastrop,21439.0,4.0,68.6828396846868,91.6128504127991,28.53752040673539,15.03658286300667,95.75295955968096
baylor,593.0,1.0,59.4,95.1,13.0,26.1,95.7
bee,5075.0,5.0,80.1696157635468,92.1351330049261,25.76599014778325,24.11138601969733,95.88892625510448
bell,77207.0,12.0,55.91331744530936,93.1806416516637,21.304008703874004,23.872268058595726,91.62322069242427
bexar,352880.0,42.0,61.71844196327363,92.3420762487281,24.81445783815498,17.88313366178712,88.10211766747156
blanco,1802.0,2.0,38.803995560488346,94.56093229744728,14.678135405105438,25.182463928967817,99.26881243063262
borden,249.0,1.0,29.3,95.5,6.3,0.0,100.0
bosque,2801.0,8.0,62.86394144948233,95.17254551945733,12.040199928596929,13.97379507318815,97.56408425562299
bowie,17420.0,13.0,65.9255051664753,94.15135476463833,17.54625717566016,26.67259236826166,93.34353119321624
brazoria,74478.0,8.0,50.65197239453261,94.61255538548296,14.04280190123258,25.64874215104944,97.64245626773157
brazos,31020.0,4.0,60.793675048355894,94.344609929078,15.444558349451967,18.3028877288046,94.68426617326372
brewster,1091.0,4.0,54.21585701191567,93.47855178735107,16.430797433547205,7.457486136783734,91.49805914972274
briscoe,201.0,1.0,51.2,96.6,7.1,76.2,100.0
brooks,1179.0,1.0,85.2,90.1,37.7,11.9,86.7
brown,6098.0,7.0,58.052951787471294,94.41033125614955,15.703000983929158,13.657789439160382,96.95833060019679
burleson,3088.0,3.0,65.18607512953368,93.76188471502591,19.011690414507772,39.65404792746114,97.32098445595855
burnet,7196.0,2.0,62.28132295719845,94.28813229571985,15.248443579766537,33.907198443579766,96.79708171206227
caldwell,8432.0,3.0,76.48932637571157,91.98472485768501,26.755360531309297,18.12998102466793,89.37843927893738
calhoun,3502.0,1.0,65.8,93.3,19.600000000000005,52.1,98.8
callahan,2602.0,4.0,48.145465026902386,94.9511145272867,12.797886241352805,25.363604919292847,97.45687932359724
cameron,84066.0,10.0,82.82802321985106,92.440201746247,25.276881259962416,40.12008540908334,94.54270454166965
camp,2242.0,1.0,75.7,95.2,10.9,67.8,100.0
